the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
the technology-laced nasdaq composite index . ixic inched down 1 point , or 0.11 percent , to 1,650 .	the broad standard & poor 's 500 index . spx inched up 3 points , or 0.32 percent , to 970 .	0.800
" it 's a huge black eye , " said publisher arthur ochs sulzberger jr. , whose family has controlled the paper since 1896 .	" it 's a huge black eye , " arthur sulzberger , the newspaper 's publisher , said of the scandal .	3.600
sec chairman william donaldson said there is a " building confidence out there that the cop is on the beat . "	" i think there 's a building confidence that the cop is on the beat . "	3.400
vivendi shares closed 1.9 percent at 15.80 euros in paris after falling 3.6 percent on monday .	in new york , vivendi shares were 1.4 percent down at $ 18.29 .	1.400
myanmar 's pro-democracy leader aung san suu kyi will return home late friday but will remain in detention after recovering from surgery at a yangon hospital , her personal physician said .	myanmar 's pro-democracy leader aung san suu kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said friday .	4.600
darren dopp , a spitzer spokesman , declined to comment late thursday .	john heine , a spokesman for the commission in washington , declined to comment on mr. spitzer 's criticism .	1.400
bremer said one initiative is to launch a us $ 70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects .	bremer said he would launch a $ 70-million program in the next two weeks to clean up neighborhoods across iraq and build community projects , but gave no details .	3.600
in afternoon trading in europe , france 's cac-40 advanced and britain 's ftse 100 each gained 0.7 percent , while germany 's dax index rose 0.6 percent .	in europe , france 's cac-40 rose 1.3 percent , britain 's ftse 100 declined 0.2 percent and germany 's dax index gained 0.6 percent .	2.000
he later learned that the incident was caused by the concorde 's sonic boom .	he later found out the alarming incident had been caused by concorde 's powerful sonic boom .	5.000
sens. john kerry and bob graham declined invitations to speak .	the no-shows were sens. john kerry of massachusetts and bob graham of florida .	3.600
page said it 's also possible that genes on the y chromosome may influence gender-specific differences in disease susceptibility .	he added that genes on the y might play a role in influencing gender-specific differences in disease susceptibility .	4.400
one of the most well studied facets of temperament is how people respond to novelty .	one of the defining and well-studied characteristics of temperament is how people react to novelty .	4.800
but butterflies exposed to an earlier light cycle , from 1am to 1pm , orientated themselves towards the south-east .	but butterflies housed under an earlier light cycle , 1 a.m. to 1 p.m. , flew toward the southeast .	4.600
